 ,Label,Area,X,Y,BX,BY,Width,Height,10678.04,Distance from edge (nm),Diamater (nm)
1,0.14;100%;1P;I10-1.tif,26.089,1307.446,16.253,1303.834,14.447,7.223,3.612,,9370.594,7.223
2,0.14;100%;1P;I10-1.tif,13.045,886.679,23.476,884.874,21.67,3.612,3.612,,9791.361,3.612
3,0.14;100%;1P;I10-1.tif,26.089,350.338,27.088,346.726,25.282,7.223,3.612,,10327.702,7.223
4,0.14;100%;1P;I10-1.tif,13.045,879.456,27.088,877.65,25.282,3.612,3.612,,9798.584,3.612
5,0.14;100%;1P;I10-1.tif,26.089,942.661,27.088,939.05,25.282,7.223,3.612,,9735.379,7.223
6,0.14;100%;1P;I10-1.tif,65.223,1661.756,29.977,1654.172,25.282,14.447,7.223,,9016.284,14.447
7,0.14;100%;1P;I10-1.tif,13.045,2269.972,27.088,2268.166,25.282,3.612,3.612,,8408.068,3.612
8,0.14;100%;1P;I10-1.tif,26.089,1047.401,30.7,1043.79,28.894,7.223,3.612,,9630.639,7.223
9,0.14;100%;1P;I10-1.tif,378.293,1810.659,42.78,1798.641,32.506,25.282,21.67,,8867.381,25.282
10,0.14;100%;1P;I10-1.tif,39.134,328.065,39.127,325.056,36.117,7.223,7.223,,10349.975,7.223
11,0.14;100%;1P;I10-1.tif,156.535,2787.954,41.836,2781.031,36.117,14.447,14.447,,7890.086,14.447
12,0.14;100%;1P;I10-1.tif,26.089,227.539,43.341,223.927,39.729,7.223,7.223,,10450.501,7.223
13,0.14;100%;1P;I10-1.tif,13.045,2089.385,41.535,2087.579,39.729,3.612,3.612,,8588.655,3.612
14,0.14;100%;1P;I10-1.tif,39.134,1261.095,47.554,1256.882,43.341,7.223,7.223,,9416.945,7.223
15,0.14;100%;1P;I10-1.tif,665.274,1990.311,60.16,1972.004,43.341,36.117,39.729,,8687.729,36.117
16,0.14;100%;1P;I10-1.tif,1095.745,2807.56,64.71,2784.643,43.341,46.952,46.952,,7870.48,46.952
17,0.14;100%;1P;I10-1.tif,26.089,1181.035,59.594,1177.424,57.788,7.223,3.612,,9497.005,7.223
18,0.14;100%;1P;I10-1.tif,26.089,1401.351,61.399,1397.739,57.788,7.223,7.223,,9276.689,7.223
19,0.14;100%;1P;I10-1.tif,169.58,1270.078,68.484,1260.493,61.399,18.059,14.447,,9407.962,18.059
20,0.14;100%;1P;I10-1.tif,13.045,2674.485,63.205,2672.679,61.399,3.612,3.612,,8003.555,3.612
21,0.14;100%;1P;I10-1.tif,130.446,1041.261,71.512,1032.954,65.011,14.447,14.447,,9636.779,14.447
22,0.14;100%;1P;I10-1.tif,13.045,2613.086,66.817,2611.28,65.011,3.612,3.612,,8064.954,3.612
23,0.14;100%;1P;I10-1.tif,13.045,883.068,70.429,881.262,68.623,3.612,3.612,,9794.972,3.612
24,0.14;100%;1P;I10-1.tif,156.535,2246.194,78.254,2235.66,72.235,18.059,10.835,,8431.846,18.059
25,0.14;100%;1P;I10-1.tif,78.268,160.12,85.478,155.304,79.458,10.835,10.835,,10517.92,10.835
26,0.14;100%;1P;I10-1.tif,13.045,247.403,84.876,245.598,83.07,3.612,3.612,,10430.637,3.612
27,0.14;100%;1P;I10-1.tif,13.045,409.931,84.876,408.125,83.07,3.612,3.612,,10268.109,3.612
28,0.14;100%;1P;I10-1.tif,39.134,1039.576,86.08,1036.566,83.07,7.223,7.223,,9638.464,7.223
29,0.14;100%;1P;I10-1.tif,13.045,2717.826,88.487,2716.02,86.681,3.612,3.612,,7960.214,3.612
30,0.14;100%;1P;I10-1.tif,13.045,1612.637,110.158,1610.831,108.352,3.612,3.612,,9065.403,3.612
31,0.14;100%;1P;I10-1.tif,13.045,453.272,117.381,451.466,115.575,3.612,3.612,,10224.768,3.612
32,0.14;100%;1P;I10-1.tif,39.134,2889.985,127.012,2885.771,122.799,7.223,7.223,,7788.055,7.223
33,0.14;100%;1P;I10-1.tif,52.178,616.703,142.663,613.994,137.246,7.223,10.835,,10061.337,7.223
34,0.14;100%;1P;I10-1.tif,26.089,2818.954,140.857,2817.149,137.246,3.612,7.223,,7859.086,3.612
35,0.14;100%;1P;I10-1.tif,195.669,1818.987,147.72,1809.476,140.857,18.059,14.447,,8859.053,18.059
36,0.14;100%;1P;I10-1.tif,39.134,2049.656,146.275,2047.85,140.857,3.612,10.835,,8628.384,3.612
37,0.14;100%;1P;I10-1.tif,52.178,895.709,149.887,892.097,144.469,7.223,10.835,,9782.331,7.223
38,0.14;100%;1P;I10-1.tif,39.134,1069.674,147.479,1065.46,144.469,7.223,7.223,,9608.366,7.223
39,0.14;100%;1P;I10-1.tif,91.312,2616.182,160.206,2611.28,151.693,10.835,14.447,,8061.858,10.835
40,0.14;100%;1P;I10-1.tif,13.045,1381.486,167.945,1379.68,166.14,3.612,3.612,,9296.554,3.612
41,0.14;100%;1P;I10-1.tif,13.045,1739.047,171.557,1737.242,169.751,3.612,3.612,,8938.993,3.612
42,0.14;100%;1P;I10-1.tif,52.178,1455.527,178.781,1451.915,173.363,7.223,10.835,,9222.513,7.223
43,0.14;100%;1P;I10-1.tif,26.089,2818.954,180.586,2817.149,176.975,3.612,7.223,,7859.086,3.612
44,0.14;100%;1P;I10-1.tif,91.312,2888.093,184.456,2882.16,176.975,10.835,14.447,,7789.947,10.835
45,0.14;100%;1P;I10-1.tif,117.401,2628.737,190.017,2622.115,184.198,14.447,10.835,,8049.303,14.447
46,0.14;100%;1P;I10-1.tif,13.045,583.294,189.616,581.488,187.81,3.612,3.612,,10094.746,3.612
47,0.14;100%;1P;I10-1.tif,13.045,825.28,211.286,823.474,209.48,3.612,3.612,,9852.76,3.612
48,0.14;100%;1P;I10-1.tif,26.089,1215.347,216.704,1213.541,213.092,3.612,7.223,,9462.693,3.612
49,0.14;100%;1P;I10-1.tif,13.045,2750.332,222.121,2748.526,220.315,3.612,3.612,,7927.708,3.612
50,0.14;100%;1P;I10-1.tif,13.045,3133.175,229.345,3131.369,227.539,3.612,3.612,,7544.865,3.612
