 ,Label,Area,X,Y,BX,BY,Width,Height,7128.587,,Width
1,0.14;100%;1P;I08-1.tif,102.647,1519.674,14.776,1515.197,7.164,10.746,14.328,,5608.913,10.746
2,0.14;100%;1P;I08-1.tif,12.831,1054.907,19.701,1053.116,17.91,3.582,3.582,,6073.68,3.582
3,0.14;100%;1P;I08-1.tif,12.831,245.369,23.283,243.578,21.492,3.582,3.582,,6883.218,3.582
4,0.14;100%;1P;I08-1.tif,38.493,799.389,25.671,795.21,21.492,7.164,7.164,,6329.198,7.164
5,0.14;100%;1P;I08-1.tif,153.971,2525.925,32.835,2518.164,25.074,14.328,14.328,,4602.662,14.328
6,0.14;100%;1P;I08-1.tif,25.662,3234.569,26.865,3230.987,25.074,7.164,3.582,,3894.018,7.164
7,0.14;100%;1P;I08-1.tif,25.662,2328.317,30.447,2324.735,28.656,7.164,3.582,,4800.27,7.164
8,0.14;100%;1P;I08-1.tif,526.067,760.219,50.716,737.897,35.82,39.402,28.656,,6368.368,39.402
9,0.14;100%;1P;I08-1.tif,25.662,1669.224,37.611,1665.642,35.82,7.164,3.582,,5459.363,7.164
10,0.14;100%;1P;I08-1.tif,12.831,911.626,59.103,909.835,57.312,3.582,3.582,,6216.961,3.582
11,0.14;100%;1P;I08-1.tif,12.831,1144.457,59.103,1142.666,57.312,3.582,3.582,,5984.13,3.582
12,0.14;100%;1P;I08-1.tif,64.155,285.487,64.835,279.398,60.894,10.746,7.164,,6843.1,10.746
13,0.14;100%;1P;I08-1.tif,12.831,739.688,66.267,737.897,64.476,3.582,3.582,,6388.899,3.582
14,0.14;100%;1P;I08-1.tif,89.816,2188.362,71.896,2181.454,64.476,14.328,14.328,,4940.225,14.328
15,0.14;100%;1P;I08-1.tif,89.816,2354.158,73.943,2346.227,68.058,14.328,10.746,,4774.429,14.328
16,0.14;100%;1P;I08-1.tif,102.647,588.348,99.849,580.288,93.133,14.328,10.746,,6540.239,14.328
17,0.14;100%;1P;I08-1.tif,320.773,2464.505,109.825,2453.688,96.715,17.91,25.074,,4664.082,17.91
18,0.14;100%;1P;I08-1.tif,128.309,2693.683,102.088,2686.519,96.715,14.328,10.746,,4434.904,14.328
19,0.14;100%;1P;I08-1.tif,12.831,1585.046,102.088,1583.255,100.297,3.582,3.582,,5543.541,3.582
20,0.14;100%;1P;I08-1.tif,25.662,458.499,109.252,454.917,107.461,7.164,3.582,,6670.088,7.164
