 ,Label,Area,X,Y,BX,BY,Width,Height,,distance from edge (nm),Diamater (nm)
1,0.14;100%;1P;I03-1.tif,29.491,825.6,7.68,821.76,3.84,7.68,7.68,,3725.6,7.68
2,0.14;100%;1P;I03-1.tif,14.746,1257.6,5.76,1255.68,3.84,3.84,3.84,,4157.6,3.84
3,0.14;100%;1P;I03-1.tif,14.746,2298.24,5.76,2296.32,3.84,3.84,3.84,,5198.24,3.84
4,0.14;100%;1P;I03-1.tif,29.491,426.24,9.6,422.4,7.68,7.68,3.84,,3326.24,7.68
5,0.14;100%;1P;I03-1.tif,14.746,1395.84,9.6,1393.92,7.68,3.84,3.84,,4295.84,3.84
6,0.14;100%;1P;I03-1.tif,103.219,2124.343,13.44,2119.68,7.68,11.52,11.52,,5024.343,11.52
7,0.14;100%;1P;I03-1.tif,14.746,2966.4,9.6,2964.48,7.68,3.84,3.84,,5866.4,3.84
8,0.14;100%;1P;I03-1.tif,14.746,1403.52,13.44,1401.6,11.52,3.84,3.84,,4303.52,3.84
9,0.14;100%;1P;I03-1.tif,14.746,2302.08,13.44,2300.16,11.52,3.84,3.84,,5202.08,3.84
10,0.14;100%;1P;I03-1.tif,14.746,2908.8,13.44,2906.88,11.52,3.84,3.84,,5808.8,3.84
11,0.14;100%;1P;I03-1.tif,162.202,1941.12,21.12,1931.52,15.36,19.2,11.52,,4841.12,19.2
12,0.14;100%;1P;I03-1.tif,14.746,2244.48,17.28,2242.56,15.36,3.84,3.84,,5144.48,3.84
13,0.14;100%;1P;I03-1.tif,117.965,2719.68,21.12,2711.04,15.36,15.36,11.52,,5619.68,15.36
14,0.14;100%;1P;I03-1.tif,14.746,2916.48,17.28,2914.56,15.36,3.84,3.84,,5816.48,3.84
15,0.14;100%;1P;I03-1.tif,14.746,2924.16,21.12,2922.24,19.2,3.84,3.84,,5824.16,3.84
16,0.14;100%;1P;I03-1.tif,14.746,2939.52,21.12,2937.6,19.2,3.84,3.84,,5839.52,3.84
17,0.14;100%;1P;I03-1.tif,14.746,2962.56,21.12,2960.64,19.2,3.84,3.84,,5862.56,3.84
