 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
47,0.14;100%;1P;I05-1.tif,51.02,2550,104.464,2546.429,100,7.143,10.714,,,951.786,7.143
48,0.14;100%;1P;I05-1.tif,306.122,3437.054,108.036,3417.857,100,39.286,14.286,,,64.732,39.286
49,0.14;100%;1P;I05-1.tif,12.755,848.214,105.357,846.429,103.571,3.571,3.571,,,2653.572,3.571
50,0.14;100%;1P;I05-1.tif,76.531,451.786,111.905,446.429,107.143,10.714,10.714,,,3050,10.714
51,0.14;100%;1P;I05-1.tif,25.51,1010.714,112.5,1007.143,110.714,7.143,3.571,,,2491.072,7.143
52,0.14;100%;1P;I05-1.tif,38.265,74.405,120.833,71.429,117.857,7.143,7.143,,,3427.381,7.143
53,0.14;100%;1P;I05-1.tif,12.755,2048.214,123.214,2046.429,121.429,3.571,3.571,,,1453.572,3.571
54,0.14;100%;1P;I05-1.tif,127.551,2414.643,129.286,2407.143,121.429,17.857,14.286,,,1087.143,17.857
55,0.14;100%;1P;I05-1.tif,12.755,701.786,130.357,700,128.571,3.571,3.571,,,2800,3.571
56,0.14;100%;1P;I05-1.tif,12.755,908.929,130.357,907.143,128.571,3.571,3.571,,,2592.857,3.571
57,0.14;100%;1P;I05-1.tif,12.755,2051.786,130.357,2050,128.571,3.571,3.571,,,1450,3.571
58,0.14;100%;1P;I05-1.tif,12.755,2233.929,130.357,2232.143,128.571,3.571,3.571,,,1267.857,3.571
59,0.14;100%;1P;I05-1.tif,12.755,2244.643,130.357,2242.857,128.571,3.571,3.571,,,1257.143,3.571
60,0.14;100%;1P;I05-1.tif,12.755,2341.071,130.357,2339.286,128.571,3.571,3.571,,,1160.715,3.571
61,0.14;100%;1P;I05-1.tif,12.755,3501.786,130.357,3500,128.571,3.571,3.571,,,0,3.571
62,0.14;100%;1P;I05-1.tif,25.51,250,135.714,246.429,132.143,7.143,7.143,,,3251.786,7.143
63,0.14;100%;1P;I05-1.tif,12.755,405.357,133.929,403.571,132.143,3.571,3.571,,,3096.429,3.571
64,0.14;100%;1P;I05-1.tif,12.755,2119.643,133.929,2117.857,132.143,3.571,3.571,,,1382.143,3.571
65,0.14;100%;1P;I05-1.tif,38.265,3130.357,136.31,3125,132.143,10.714,7.143,,,371.429,10.714
66,0.14;100%;1P;I05-1.tif,12.755,423.214,137.5,421.429,135.714,3.571,3.571,,,3078.572,3.571
67,0.14;100%;1P;I05-1.tif,114.796,3141.468,145.833,3132.143,135.714,14.286,17.857,,,360.318,14.286
68,0.14;100%;1P;I05-1.tif,25.51,828.571,150,825,146.429,7.143,7.143,,,2673.215,7.143
69,0.14;100%;1P;I05-1.tif,382.653,384.167,165.595,375,150,17.857,32.143,,,3117.619,17.857
70,0.14;100%;1P;I05-1.tif,51.02,1530.357,153.571,1525,150,10.714,7.143,,,1971.429,10.714
71,0.14;100%;1P;I05-1.tif,357.143,2912.117,168.878,2900,153.571,25,32.143,,,589.669,25
72,0.14;100%;1P;I05-1.tif,12.755,1987.5,158.929,1985.714,157.143,3.571,3.571,,,1514.286,3.571
73,0.14;100%;1P;I05-1.tif,25.51,2500,160.714,2496.429,157.143,7.143,7.143,,,1001.786,7.143
74,0.14;100%;1P;I05-1.tif,38.265,107.738,163.69,103.571,160.714,7.143,7.143,,,3394.048,7.143
75,0.14;100%;1P;I05-1.tif,12.755,408.929,162.5,407.143,160.714,3.571,3.571,,,3092.857,3.571
76,0.14;100%;1P;I05-1.tif,140.306,3018.344,165.747,3007.143,160.714,21.429,10.714,,,483.442,21.429
77,0.14;100%;1P;I05-1.tif,25.51,446.429,166.071,442.857,164.286,7.143,3.571,,,3055.357,7.143
78,0.14;100%;1P;I05-1.tif,12.755,1230.357,166.071,1228.571,164.286,3.571,3.571,,,2271.429,3.571
79,0.14;100%;1P;I05-1.tif,12.755,2416.071,166.071,2414.286,164.286,3.571,3.571,,,1085.715,3.571
80,0.14;100%;1P;I05-1.tif,12.755,1266.071,169.643,1264.286,167.857,3.571,3.571,,,2235.715,3.571
81,0.14;100%;1P;I05-1.tif,216.837,1403.466,176.366,1396.429,167.857,17.857,17.857,,,2098.32,17.857
82,0.14;100%;1P;I05-1.tif,25.51,1844.643,171.429,1842.857,167.857,3.571,7.143,,,1657.143,3.571
83,0.14;100%;1P;I05-1.tif,12.755,2844.643,169.643,2842.857,167.857,3.571,3.571,,,657.143,3.571
84,0.14;100%;1P;I05-1.tif,12.755,1019.643,173.214,1017.857,171.429,3.571,3.571,,,2482.143,3.571
85,0.14;100%;1P;I05-1.tif,191.327,3054.167,180.357,3039.286,171.429,28.571,17.857,,,447.619,28.571
86,0.14;100%;1P;I05-1.tif,25.51,3364.286,173.214,3360.714,171.429,7.143,3.571,,,137.5,7.143
87,0.14;100%;1P;I05-1.tif,12.755,737.5,176.786,735.714,175,3.571,3.571,,,2764.286,3.571
88,0.14;100%;1P;I05-1.tif,51.02,3014.286,179.464,3007.143,175,14.286,7.143,,,487.5,14.286
89,0.14;100%;1P;I05-1.tif,12.755,3344.643,176.786,3342.857,175,3.571,3.571,,,157.143,3.571
90,0.14;100%;1P;I05-1.tif,12.755,666.071,180.357,664.286,178.571,3.571,3.571,,,2835.715,3.571
91,0.14;100%;1P;I05-1.tif,38.265,2645.833,181.548,2642.857,178.571,7.143,7.143,,,855.953,7.143
92,0.14;100%;1P;I05-1.tif,12.755,3366.071,180.357,3364.286,178.571,3.571,3.571,,,135.715,3.571
93,0.14;100%;1P;I05-1.tif,38.265,410.119,186.31,407.143,182.143,7.143,7.143,,,3091.667,7.143
94,0.14;100%;1P;I05-1.tif,25.51,867.857,183.929,864.286,182.143,7.143,3.571,,,2633.929,7.143
95,0.14;100%;1P;I05-1.tif,51.02,1559.821,187.5,1557.143,182.143,7.143,10.714,,,1941.965,7.143
96,0.14;100%;1P;I05-1.tif,931.122,3269.251,198.312,3250,182.143,35.714,32.143,,,232.535,35.714
97,0.14;100%;1P;I05-1.tif,12.755,601.786,187.5,600,185.714,3.571,3.571,,,2900,3.571
98,0.14;100%;1P;I05-1.tif,12.755,966.071,187.5,964.286,185.714,3.571,3.571,,,2535.715,3.571
