 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-down-I_07-1.tif,80.079,695.995,22.198,690.721,16.189,10.793,13.491
2,20231005-B-S-SP-down-I_07-1.tif,14.560,1730.850,24.283,1729.501,21.585,2.698,5.396
3,20231005-B-S-SP-down-I_07-1.tif,123.758,1613.878,69.278,1608.085,62.057,13.491,13.491
4,20231005-B-S-SP-down-I_07-1.tif,7.280,263.068,68.802,261.719,67.453,2.698,2.698
5,20231005-B-S-SP-down-I_07-1.tif,29.120,2377.052,70.151,2374.354,67.453,5.396,5.396
6,20231005-B-S-SP-down-I_07-1.tif,436.794,1372.089,86.925,1359.857,72.850,24.283,26.981
7,20231005-B-S-SP-down-I_07-1.tif,36.400,1954.255,75.278,1950.748,72.850,8.094,5.396
8,20231005-B-S-SP-down-I_07-1.tif,123.758,1485.638,107.846,1478.575,102.529,13.491,10.793
9,20231005-B-S-SP-down-I_07-1.tif,21.840,155.142,114.671,151.095,113.321,8.094,2.698
10,20231005-B-S-SP-down-I_07-1.tif,7.280,152.444,120.067,151.095,118.718,2.698,2.698
11,20231005-B-S-SP-down-I_07-1.tif,21.840,2706.674,120.966,2703.526,118.718,5.396,5.396
12,20231005-B-S-SP-down-I_07-1.tif,131.038,75.398,129.960,67.453,124.114,16.189,10.793
13,20231005-B-S-SP-down-I_07-1.tif,36.400,1125.930,131.399,1122.422,126.812,8.094,8.094
14,20231005-B-S-SP-down-I_07-1.tif,7.280,1234.394,138.954,1233.045,137.605,2.698,2.698
15,20231005-B-S-SP-down-I_07-1.tif,7.280,2181.438,138.954,2180.089,137.605,2.698,2.698
16,20231005-B-S-SP-down-I_07-1.tif,276.636,625.256,174.881,617.872,159.190,16.189,29.679
17,20231005-B-S-SP-down-I_07-1.tif,29.120,916.015,168.633,911.968,164.586,8.094,8.094
18,20231005-B-S-SP-down-I_07-1.tif,7.280,1803.700,171.331,1802.351,169.982,2.698,2.698
19,20231005-B-S-SP-down-I_07-1.tif,87.359,1801.451,178.976,1794.256,175.378,13.491,8.094
20,20231005-B-S-SP-down-I_07-1.tif,50.959,2484.785,193.687,2479.581,188.869,10.793,8.094
21,20231005-B-S-SP-down-I_07-1.tif,7.280,1803.700,254.973,1802.351,253.624,2.698,2.698
22,20231005-B-S-SP-down-I_07-1.tif,138.318,2123.073,274.144,2115.334,264.417,16.189,16.189
23,20231005-B-S-SP-down-I_07-1.tif,582.392,2198.773,283.202,2185.485,267.115,26.981,32.378
24,20231005-B-S-SP-down-I_07-1.tif,80.079,585.862,293.728,580.098,288.700,10.793,10.793
25,20231005-B-S-SP-down-I_07-1.tif,14.560,874.194,326.474,871.496,323.776,5.396,5.396
26,20231005-B-S-SP-down-I_07-1.tif,160.158,853.835,332.483,847.213,326.474,13.491,13.491
27,20231005-B-S-SP-down-I_07-1.tif,72.799,2109.937,349.138,2104.541,345.361,10.793,8.094
28,20231005-B-S-SP-down-I_07-1.tif,50.959,1342.320,366.367,1338.272,361.549,8.094,8.094
29,20231005-B-S-SP-down-I_07-1.tif,21.840,2539.390,364.697,2536.242,361.549,5.396,5.396
30,20231005-B-S-SP-down-I_07-1.tif,152.878,618.321,372.278,612.475,364.248,13.491,16.189
31,20231005-B-S-SP-down-I_07-1.tif,706.151,991.257,375.193,974.025,364.248,37.774,26.981
32,20231005-B-S-SP-down-I_07-1.tif,14.560,1799.652,368.295,1796.954,366.946,5.396,2.698
33,20231005-B-S-SP-down-I_07-1.tif,582.392,239.796,389.542,226.643,372.342,26.981,35.076
34,20231005-B-S-SP-down-I_07-1.tif,502.313,2024.086,389.684,2010.107,375.040,29.679,26.981
35,20231005-B-S-SP-down-I_07-1.tif,36.400,424.416,404.450,420.908,402.021,8.094,5.396
36,20231005-B-S-SP-down-I_07-1.tif,80.079,1843.190,406.314,1837.426,402.021,10.793,8.094
37,20231005-B-S-SP-down-I_07-1.tif,582.392,840.906,423.168,825.628,404.719,26.981,35.076
38,20231005-B-S-SP-down-I_07-1.tif,29.120,2494.421,414.837,2490.374,410.116,8.094,8.094
39,20231005-B-S-SP-down-I_07-1.tif,14.560,1269.470,423.606,1268.121,420.908,2.698,5.396
40,20231005-B-S-SP-down-I_07-1.tif,36.400,1655.303,435.208,1651.255,431.701,8.094,8.094
41,20231005-B-S-SP-down-I_07-1.tif,7.280,770.316,441.144,768.967,439.795,2.698,2.698
42,20231005-B-S-SP-down-I_07-1.tif,7.280,1471.830,446.540,1470.481,445.191,2.698,2.698
43,20231005-B-S-SP-down-I_07-1.tif,29.120,2236.750,447.890,2231.353,445.191,10.793,5.396
44,20231005-B-S-SP-down-I_07-1.tif,50.959,1720.829,483.158,1716.010,480.267,10.793,5.396
45,20231005-B-S-SP-down-I_07-1.tif,7.280,1104.884,492.409,1103.535,491.060,2.698,2.698
46,20231005-B-S-SP-down-I_07-1.tif,7.280,260.370,495.107,259.020,493.758,2.698,2.698
47,20231005-B-S-SP-down-I_07-1.tif,80.079,1794.624,508.352,1788.860,504.550,10.793,8.094
48,20231005-B-S-SP-down-I_07-1.tif,50.959,2004.518,511.681,1999.314,507.248,8.094,10.793
49,20231005-B-S-SP-down-I_07-1.tif,7.280,1792.907,516.692,1791.558,515.343,2.698,2.698
50,20231005-B-S-SP-down-I_07-1.tif,14.560,2219.212,520.739,2217.863,518.041,2.698,5.396
51,20231005-B-S-SP-down-I_07-1.tif,7.280,2224.608,519.390,2223.259,518.041,2.698,2.698
52,20231005-B-S-SP-down-I_07-1.tif,7.280,2194.928,559.862,2193.579,558.513,2.698,2.698
53,20231005-B-S-SP-down-I_07-1.tif,101.919,881.710,578.942,876.892,572.003,10.793,13.491
