 ,Label,Area,X,Y,BX,BY,Width,Height
142,20231005-B-S-SP-left-I_00-1.tif,109.940,2225.468,627.094,2219.963,617.258,13.536,16.244
143,20231005-B-S-SP-left-I_00-1.tif,637.651,1362.085,640.705,1345.514,628.087,35.195,27.073
144,20231005-B-S-SP-left-I_00-1.tif,564.358,1728.699,647.829,1713.703,630.794,27.073,35.195
145,20231005-B-S-SP-left-I_00-1.tif,7.329,1122.164,634.855,1120.811,633.502,2.707,2.707
146,20231005-B-S-SP-left-I_00-1.tif,14.659,1250.760,638.916,1248.052,636.209,5.415,5.415
147,20231005-B-S-SP-left-I_00-1.tif,51.305,1649.309,640.270,1646.021,636.209,8.122,8.122
148,20231005-B-S-SP-left-I_00-1.tif,29.317,1667.003,639.593,1662.265,636.209,8.122,5.415
149,20231005-B-S-SP-left-I_00-1.tif,2418.676,1298.875,666.145,1267.003,641.623,62.267,48.731
150,20231005-B-S-SP-left-I_00-1.tif,58.635,1907.273,646.700,1900.505,641.623,10.829,10.829
151,20231005-B-S-SP-left-I_00-1.tif,249.197,1169.064,663.919,1161.420,652.453,16.244,21.658
152,20231005-B-S-SP-left-I_00-1.tif,1040.764,1502.917,676.551,1483.585,655.160,37.902,40.609
153,20231005-B-S-SP-left-I_00-1.tif,14.659,1927.578,665.989,1924.870,663.282,5.415,5.415
154,20231005-B-S-SP-left-I_00-1.tif,183.233,2031.808,670.158,2022.332,663.282,21.658,18.951
155,20231005-B-S-SP-left-I_00-1.tif,1399.900,1039.174,685.188,1015.227,665.989,48.731,40.609
156,20231005-B-S-SP-left-I_00-1.tif,14.659,1553.974,667.343,1551.267,665.989,5.415,2.707
157,20231005-B-S-SP-left-I_00-1.tif,21.988,1546.303,670.952,1543.145,668.696,5.415,5.415
158,20231005-B-S-SP-left-I_00-1.tif,7.329,1720.471,670.050,1719.118,668.696,2.707,2.707
159,20231005-B-S-SP-left-I_00-1.tif,7.329,2129.269,670.050,2127.916,668.696,2.707,2.707
160,20231005-B-S-SP-left-I_00-1.tif,36.647,1564.532,676.006,1562.096,671.403,5.415,8.122
161,20231005-B-S-SP-left-I_00-1.tif,7.329,1558.035,675.464,1556.681,674.111,2.707,2.707
162,20231005-B-S-SP-left-I_00-1.tif,21.988,2076.929,677.269,2073.770,674.111,5.415,5.415
163,20231005-B-S-SP-left-I_00-1.tif,29.317,1543.822,678.848,1540.438,676.818,8.122,5.415
164,20231005-B-S-SP-left-I_00-1.tif,80.623,1920.071,687.524,1916.749,679.525,8.122,16.244
165,20231005-B-S-SP-left-I_00-1.tif,14.659,2025.039,680.879,2022.332,679.525,5.415,2.707
166,20231005-B-S-SP-left-I_00-1.tif,14.659,2037.222,682.233,2035.868,679.525,2.707,5.415
167,20231005-B-S-SP-left-I_00-1.tif,36.647,957.562,686.835,952.960,682.233,8.122,8.122
168,20231005-B-S-SP-left-I_00-1.tif,14.659,1564.803,683.586,1562.096,682.233,5.415,2.707
169,20231005-B-S-SP-left-I_00-1.tif,7.329,1882.908,683.586,1881.554,682.233,2.707,2.707
170,20231005-B-S-SP-left-I_00-1.tif,14.659,1553.974,689.001,1551.267,687.647,5.415,2.707
171,20231005-B-S-SP-left-I_00-1.tif,469.077,1084.770,701.945,1072.080,690.354,27.073,21.658
172,20231005-B-S-SP-left-I_00-1.tif,3320.183,1267.490,724.912,1234.516,693.062,67.682,64.975
173,20231005-B-S-SP-left-I_00-1.tif,21.988,1363.111,695.318,1359.051,693.062,8.122,5.415
174,20231005-B-S-SP-left-I_00-1.tif,263.856,1581.648,702.011,1572.925,693.062,18.951,24.365
175,20231005-B-S-SP-left-I_00-1.tif,21.988,1924.419,706.147,1922.163,703.891,5.415,5.415
176,20231005-B-S-SP-left-I_00-1.tif,29.317,457.529,710.659,454.822,706.598,5.415,8.122
177,20231005-B-S-SP-left-I_00-1.tif,65.964,1977.361,713.065,1973.601,706.598,8.122,10.829
178,20231005-B-S-SP-left-I_00-1.tif,7.329,1490.353,713.366,1489.000,712.013,2.707,2.707
179,20231005-B-S-SP-left-I_00-1.tif,7.329,1595.937,716.073,1594.583,714.720,2.707,2.707
180,20231005-B-S-SP-left-I_00-1.tif,7.329,1005.752,718.781,1004.398,717.427,2.707,2.707
181,20231005-B-S-SP-left-I_00-1.tif,1817.672,1176.593,740.646,1150.591,717.427,51.438,46.024
182,20231005-B-S-SP-left-I_00-1.tif,14.659,1007.105,726.903,1004.398,725.549,5.415,2.707
183,20231005-B-S-SP-left-I_00-1.tif,14.659,1311.673,747.207,1310.320,744.500,2.707,5.415
184,20231005-B-S-SP-left-I_00-1.tif,7.329,1893.737,770.219,1892.383,768.865,2.707,2.707
185,20231005-B-S-SP-left-I_00-1.tif,36.647,1980.911,771.302,1976.309,768.865,8.122,5.415
186,20231005-B-S-SP-left-I_00-1.tif,131.928,1898.399,779.845,1889.676,774.280,16.244,10.829
187,20231005-B-S-SP-left-I_00-1.tif,344.478,2103.867,785.829,2092.721,774.280,24.365,21.658
188,20231005-B-S-SP-left-I_00-1.tif,43.976,987.252,780.597,982.740,776.987,8.122,8.122
189,20231005-B-S-SP-left-I_00-1.tif,234.538,1450.506,784.009,1440.269,776.987,24.365,13.536
190,20231005-B-S-SP-left-I_00-1.tif,14.659,1330.624,782.402,1329.271,779.694,2.707,5.415
191,20231005-B-S-SP-left-I_00-1.tif,14.659,1337.392,781.048,1334.685,779.694,5.415,2.707
192,20231005-B-S-SP-left-I_00-1.tif,14.659,1424.025,783.755,1421.318,782.402,5.415,2.707
193,20231005-B-S-SP-left-I_00-1.tif,498.394,1683.326,795.938,1670.387,782.402,27.073,29.780
