 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-down-I_03-1.tif,160.700,1256.754,7.985,1248.645,2.703,16.216,10.811
2,20231005-B-S-SP-down-I_03-1.tif,241.051,1310.930,60.565,1302.699,48.649,16.216,21.622
3,20231005-B-S-SP-down-I_03-1.tif,14.609,1659.455,50.000,1656.753,48.649,5.405,2.703
4,20231005-B-S-SP-down-I_03-1.tif,73.046,231.351,62.432,227.026,51.351,8.108,18.919
5,20231005-B-S-SP-down-I_03-1.tif,14.609,241.891,54.054,240.540,51.351,2.703,5.405
6,20231005-B-S-SP-down-I_03-1.tif,116.873,248.141,61.824,240.540,51.351,13.513,18.919
7,20231005-B-S-SP-down-I_03-1.tif,942.289,1878.363,79.688,1859.455,59.459,37.838,37.838
8,20231005-B-S-SP-down-I_03-1.tif,21.914,239.189,71.621,235.135,70.270,8.108,2.703
9,20231005-B-S-SP-down-I_03-1.tif,14.609,1631.077,83.784,1629.726,81.081,2.703,5.405
10,20231005-B-S-SP-down-I_03-1.tif,672.020,177.879,110.899,162.162,94.594,29.730,32.432
11,20231005-B-S-SP-down-I_03-1.tif,1278.299,1455.541,130.154,1435.131,110.811,40.540,37.838
12,20231005-B-S-SP-down-I_03-1.tif,36.523,577.026,118.108,572.972,113.513,8.108,8.108
13,20231005-B-S-SP-down-I_03-1.tif,21.914,942.790,129.279,940.538,127.027,5.405,5.405
14,20231005-B-S-SP-down-I_03-1.tif,58.437,1799.658,141.892,1794.590,137.837,10.811,8.108
15,20231005-B-S-SP-down-I_03-1.tif,379.837,486.381,162.110,475.674,148.648,21.622,27.027
16,20231005-B-S-SP-down-I_03-1.tif,124.178,1561.920,153.974,1554.050,148.648,16.216,10.811
17,20231005-B-S-SP-down-I_03-1.tif,1672.745,1902.904,190.658,1878.374,159.459,48.649,56.757
18,20231005-B-S-SP-down-I_03-1.tif,36.523,867.295,185.675,864.863,181.081,5.405,10.811
19,20231005-B-S-SP-down-I_03-1.tif,7.305,874.322,182.432,872.971,181.081,2.703,2.703
20,20231005-B-S-SP-down-I_03-1.tif,14.609,1210.808,193.243,1208.105,191.891,5.405,2.703
21,20231005-B-S-SP-down-I_03-1.tif,7.305,112.162,206.756,110.811,205.405,2.703,2.703
22,20231005-B-S-SP-down-I_03-1.tif,372.533,1274.321,216.401,1264.862,205.405,21.622,24.324
23,20231005-B-S-SP-down-I_03-1.tif,401.751,1102.724,219.287,1091.889,208.108,21.622,24.324
24,20231005-B-S-SP-down-I_03-1.tif,43.827,636.034,226.576,629.728,224.324,10.811,5.405
25,20231005-B-S-SP-down-I_03-1.tif,189.919,840.954,234.511,832.430,224.324,16.216,18.919
26,20231005-B-S-SP-down-I_03-1.tif,7.305,817.565,228.378,816.214,227.026,2.703,2.703
27,20231005-B-S-SP-down-I_03-1.tif,7.305,631.079,231.080,629.728,229.729,2.703,2.703
28,20231005-B-S-SP-down-I_03-1.tif,80.350,641.890,237.469,635.134,232.432,13.513,10.811
29,20231005-B-S-SP-down-I_03-1.tif,7.305,931.079,233.783,929.727,232.432,2.703,2.703
30,20231005-B-S-SP-down-I_03-1.tif,2512.770,742.911,285.732,716.214,256.756,56.757,56.757
31,20231005-B-S-SP-down-I_03-1.tif,2615.034,1477.144,291.227,1451.348,259.459,54.054,64.865
32,20231005-B-S-SP-down-I_03-1.tif,7.305,117.567,268.918,116.216,267.567,2.703,2.703
33,20231005-B-S-SP-down-I_03-1.tif,591.670,2423.901,301.851,2410.805,289.188,27.027,27.027
34,20231005-B-S-SP-down-I_03-1.tif,1292.908,2609.773,315.689,2589.183,291.891,40.540,45.946
35,20231005-B-S-SP-down-I_03-1.tif,4353.521,1789.924,339.352,1756.752,297.297,67.567,91.892
36,20231005-B-S-SP-down-I_03-1.tif,14.609,1051.349,312.161,1048.646,310.810,5.405,2.703
37,20231005-B-S-SP-down-I_03-1.tif,102.264,1161.001,321.814,1154.051,313.513,13.513,16.216
38,20231005-B-S-SP-down-I_03-1.tif,1775.009,2563.362,341.157,2537.831,318.918,48.649,45.946
39,20231005-B-S-SP-down-I_03-1.tif,7.305,917.565,331.080,916.214,329.729,2.703,2.703
40,20231005-B-S-SP-down-I_03-1.tif,175.310,735.471,342.341,727.025,335.134,16.216,13.513
41,20231005-B-S-SP-down-I_03-1.tif,7.305,1971.617,355.405,1970.265,354.053,2.703,2.703
42,20231005-B-S-SP-down-I_03-1.tif,36.523,2679.723,358.107,2675.669,354.053,8.108,8.108
43,20231005-B-S-SP-down-I_03-1.tif,7.305,2636.480,368.918,2635.128,367.567,2.703,2.703
44,20231005-B-S-SP-down-I_03-1.tif,168.005,1148.117,386.662,1140.538,378.377,16.216,16.216
45,20231005-B-S-SP-down-I_03-1.tif,43.827,2304.048,399.999,2299.994,394.594,8.108,10.811
46,20231005-B-S-SP-down-I_03-1.tif,138.787,2627.945,411.734,2621.615,405.404,13.513,13.513
47,20231005-B-S-SP-down-I_03-1.tif,1008.030,1399.389,434.174,1381.078,413.512,35.135,43.243
48,20231005-B-S-SP-down-I_03-1.tif,138.787,2694.943,435.774,2689.182,429.729,13.513,13.513
49,20231005-B-S-SP-down-I_03-1.tif,21.914,1328.375,435.584,1324.321,432.431,8.108,5.405
50,20231005-B-S-SP-down-I_03-1.tif,14.609,1314.862,437.837,1313.510,435.134,2.703,5.405
51,20231005-B-S-SP-down-I_03-1.tif,1168.730,1460.351,453.293,1437.834,435.134,45.946,35.135
52,20231005-B-S-SP-down-I_03-1.tif,87.655,1998.869,440.765,1994.590,435.134,10.811,13.513
53,20231005-B-S-SP-down-I_03-1.tif,14.609,70.270,452.702,67.567,451.350,5.405,2.703
54,20231005-B-S-SP-down-I_03-1.tif,620.888,414.323,470.762,399.999,456.756,29.730,29.730
55,20231005-B-S-SP-down-I_03-1.tif,336.010,1255.872,465.569,1243.240,456.756,24.324,18.919
56,20231005-B-S-SP-down-I_03-1.tif,942.289,281.698,484.652,264.864,464.864,35.135,37.838
