 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-down-I_09-1.tif,142.197,1967.825,54.662,1959.826,42.663,18.665,21.331
2,20231005-B-S-SP-down-I_09-1.tif,92.428,1795.225,51.380,1786.508,45.329,15.999,10.666
3,20231005-B-S-SP-down-I_09-1.tif,14.220,529.286,50.662,527.953,47.996,2.666,5.333
4,20231005-B-S-SP-down-I_09-1.tif,28.439,1894.498,97.991,1890.499,95.991,7.999,5.333
5,20231005-B-S-SP-down-I_09-1.tif,362.602,2586.881,113.794,2575.771,103.991,21.331,21.331
6,20231005-B-S-SP-down-I_09-1.tif,206.186,663.987,133.919,655.942,125.322,15.999,15.999
7,20231005-B-S-SP-down-I_09-1.tif,71.098,2390.721,137.321,2386.455,130.655,7.999,15.999
8,20231005-B-S-SP-down-I_09-1.tif,7.110,934.584,139.988,933.250,138.654,2.666,2.666
9,20231005-B-S-SP-down-I_09-1.tif,14.220,2385.121,146.654,2383.788,143.987,2.666,5.333
10,20231005-B-S-SP-down-I_09-1.tif,7.110,1403.875,182.650,1402.542,181.317,2.666,2.666
11,20231005-B-S-SP-down-I_09-1.tif,63.989,919.474,210.204,914.585,205.315,7.999,10.666
12,20231005-B-S-SP-down-I_09-1.tif,7.110,1713.181,206.648,1711.848,205.315,2.666,2.666
13,20231005-B-S-SP-down-I_09-1.tif,7.110,1939.828,206.648,1938.494,205.315,2.666,2.666
14,20231005-B-S-SP-down-I_09-1.tif,7.110,2395.787,206.648,2394.454,205.315,2.666,2.666
15,20231005-B-S-SP-down-I_09-1.tif,7.110,1707.848,209.315,1706.515,207.982,2.666,2.666
16,20231005-B-S-SP-down-I_09-1.tif,21.330,2393.121,211.092,2389.121,207.982,7.999,5.333
17,20231005-B-S-SP-down-I_09-1.tif,35.549,996.978,214.114,994.578,210.648,5.333,7.999
18,20231005-B-S-SP-down-I_09-1.tif,7.110,2214.470,214.648,2213.137,213.314,2.666,2.666
19,20231005-B-S-SP-down-I_09-1.tif,1272.663,2127.044,256.506,2101.147,234.646,53.329,47.996
20,20231005-B-S-SP-down-I_09-1.tif,42.659,697.716,246.200,693.272,242.645,7.999,7.999
21,20231005-B-S-SP-down-I_09-1.tif,7.110,2659.764,249.311,2658.430,247.978,2.666,2.666
22,20231005-B-S-SP-down-I_09-1.tif,21.330,536.397,252.866,533.286,250.644,5.333,5.333
23,20231005-B-S-SP-down-I_09-1.tif,14.220,629.277,253.311,626.611,250.644,5.333,5.333
24,20231005-B-S-SP-down-I_09-1.tif,227.515,2661.597,259.894,2650.431,250.644,21.331,18.665
25,20231005-B-S-SP-down-I_09-1.tif,7.110,873.256,259.977,871.922,258.644,2.666,2.666
26,20231005-B-S-SP-down-I_09-1.tif,7.110,867.923,262.643,866.590,261.310,2.666,2.666
27,20231005-B-S-SP-down-I_09-1.tif,106.648,831.482,285.041,823.927,277.309,13.332,13.332
28,20231005-B-S-SP-down-I_09-1.tif,42.659,2276.687,293.752,2271.798,287.974,7.999,10.666
29,20231005-B-S-SP-down-I_09-1.tif,42.659,1134.566,303.084,1130.566,298.640,7.999,7.999
30,20231005-B-S-SP-down-I_09-1.tif,35.549,2228.335,301.573,2223.802,298.640,7.999,5.333
31,20231005-B-S-SP-down-I_09-1.tif,7.110,1515.865,307.973,1514.532,306.639,2.666,2.666
32,20231005-B-S-SP-down-I_09-1.tif,142.197,838.592,319.972,831.926,311.972,13.332,15.999
33,20231005-B-S-SP-down-I_09-1.tif,7.110,1513.199,313.305,1511.866,311.972,2.666,2.666
34,20231005-B-S-SP-down-I_09-1.tif,7.110,529.286,315.972,527.953,314.639,2.666,2.666
35,20231005-B-S-SP-down-I_09-1.tif,7.110,131.988,318.638,130.655,317.305,2.666,2.666
36,20231005-B-S-SP-down-I_09-1.tif,21.330,354.191,322.194,351.969,319.972,5.333,5.333
37,20231005-B-S-SP-down-I_09-1.tif,156.417,1865.289,329.062,1858.501,319.972,15.999,15.999
38,20231005-B-S-SP-down-I_09-1.tif,49.769,1419.493,328.923,1415.874,322.638,7.999,10.666
39,20231005-B-S-SP-down-I_09-1.tif,433.701,217.052,350.548,205.315,335.970,23.998,29.331
40,20231005-B-S-SP-down-I_09-1.tif,127.977,2103.665,350.932,2098.480,343.969,10.666,15.999
41,20231005-B-S-SP-down-I_09-1.tif,63.989,531.064,354.191,525.287,349.302,10.666,7.999
42,20231005-B-S-SP-down-I_09-1.tif,56.879,841.592,358.301,834.592,354.635,13.332,7.999
43,20231005-B-S-SP-down-I_09-1.tif,78.208,2285.009,364.452,2277.131,359.968,13.332,7.999
44,20231005-B-S-SP-down-I_09-1.tif,14.220,1734.512,373.300,1733.179,370.634,2.666,5.333
45,20231005-B-S-SP-down-I_09-1.tif,7.110,1483.868,377.300,1482.535,375.967,2.666,2.666
46,20231005-B-S-SP-down-I_09-1.tif,7.110,985.246,379.966,983.913,378.633,2.666,2.666
47,20231005-B-S-SP-down-I_09-1.tif,149.307,2227.548,413.360,2218.469,407.964,18.665,10.666
48,20231005-B-S-SP-down-I_09-1.tif,35.549,289.308,417.296,285.308,413.297,7.999,7.999
49,20231005-B-S-SP-down-I_09-1.tif,7.110,315.972,417.296,314.639,415.963,2.666,2.666
50,20231005-B-S-SP-down-I_09-1.tif,7.110,457.293,435.961,455.959,434.628,2.666,2.666
51,20231005-B-S-SP-down-I_09-1.tif,78.208,704.301,448.566,698.605,442.627,10.666,10.666
52,20231005-B-S-SP-down-I_09-1.tif,135.087,2526.021,449.434,2519.776,442.627,13.332,13.332
53,20231005-B-S-SP-down-I_09-1.tif,191.966,257.113,461.539,247.978,453.293,18.665,15.999
54,20231005-B-S-SP-down-I_09-1.tif,170.636,437.294,460.515,429.295,453.293,15.999,15.999
55,20231005-B-S-SP-down-I_09-1.tif,199.076,1948.779,468.149,1941.161,458.626,15.999,18.665
56,20231005-B-S-SP-down-I_09-1.tif,7.110,862.590,462.626,861.257,461.292,2.666,2.666
57,20231005-B-S-SP-down-I_09-1.tif,63.989,867.627,473.588,861.257,469.292,13.332,7.999
58,20231005-B-S-SP-down-I_09-1.tif,327.053,1066.978,501.926,1055.906,493.289,23.998,18.665
59,20231005-B-S-SP-down-I_09-1.tif,7.110,1430.540,497.289,1429.206,495.956,2.666,2.666
60,20231005-B-S-SP-down-I_09-1.tif,42.659,450.627,503.066,445.294,498.622,7.999,10.666
61,20231005-B-S-SP-down-I_09-1.tif,7.110,1238.557,499.956,1237.223,498.622,2.666,2.666
62,20231005-B-S-SP-down-I_09-1.tif,71.098,1282.553,508.488,1277.220,501.289,10.666,13.332
63,20231005-B-S-SP-down-I_09-1.tif,7.110,1937.161,507.955,1935.828,506.622,2.666,2.666
