 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-left-I_02-1.tif,76.428,1193.949,11.622,1188.797,5.272,13.180,13.180
2,20231005-B-S-SP-left-I_02-1.tif,20.844,421.307,11.862,419.110,7.908,5.272,7.908
3,20231005-B-S-SP-left-I_02-1.tif,27.792,2039.539,12.521,2037.562,7.908,5.272,7.908
4,20231005-B-S-SP-left-I_02-1.tif,48.636,287.503,17.133,282.043,13.180,10.544,7.908
5,20231005-B-S-SP-left-I_02-1.tif,20.844,558.375,15.376,556.178,13.180,5.272,5.272
6,20231005-B-S-SP-left-I_02-1.tif,20.844,810.544,17.133,806.590,13.180,7.908,7.908
7,20231005-B-S-SP-left-I_02-1.tif,20.844,429.215,23.284,427.018,21.087,5.272,5.272
8,20231005-B-S-SP-left-I_02-1.tif,41.688,2140.362,27.677,2137.727,23.723,5.272,7.908
9,20231005-B-S-SP-left-I_02-1.tif,48.636,397.835,31.066,395.387,26.359,5.272,10.544
10,20231005-B-S-SP-left-I_02-1.tif,125.065,279.114,35.438,266.227,31.631,23.723,7.908
11,20231005-B-S-SP-left-I_02-1.tif,145.909,1790.476,46.380,1781.878,39.539,15.815,13.180
12,20231005-B-S-SP-left-I_02-1.tif,69.480,310.774,52.982,305.766,42.175,10.544,18.451
13,20231005-B-S-SP-left-I_02-1.tif,27.792,96.211,61.285,92.257,57.990,7.908,7.908
14,20231005-B-S-SP-left-I_02-1.tif,118.117,597.190,71.867,587.809,65.898,15.815,13.180
15,20231005-B-S-SP-left-I_02-1.tif,250.130,649.899,76.734,640.527,65.898,18.451,21.087
16,20231005-B-S-SP-left-I_02-1.tif,76.428,740.093,78.958,735.420,73.806,10.544,10.544
17,20231005-B-S-SP-left-I_02-1.tif,125.065,961.669,92.989,951.565,86.985,18.451,10.544
18,20231005-B-S-SP-left-I_02-1.tif,83.377,1232.070,95.991,1228.336,89.621,10.544,13.180
19,20231005-B-S-SP-left-I_02-1.tif,27.792,660.297,126.524,656.343,123.888,7.908,5.272
20,20231005-B-S-SP-left-I_02-1.tif,20.844,858.869,149.808,856.672,147.611,5.272,5.272
21,20231005-B-S-SP-left-I_02-1.tif,34.740,2034.662,161.582,2032.290,158.155,5.272,7.908
22,20231005-B-S-SP-left-I_02-1.tif,76.428,380.890,169.298,374.300,163.427,13.180,10.544
