 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-down-I_05-1.tif,133.884,896.212,41.515,889.091,35.455,13.636,13.636
2,20231005-B-S-SP-down-I_05-1.tif,29.752,1961.591,81.136,1958.182,79.091,8.182,5.455
3,20231005-B-S-SP-down-I_05-1.tif,7.438,2256.818,83.182,2255.455,81.818,2.727,2.727
4,20231005-B-S-SP-down-I_05-1.tif,7.438,1359.545,94.091,1358.182,92.727,2.727,2.727
5,20231005-B-S-SP-down-I_05-1.tif,14.876,1352.727,96.818,1350.000,95.455,5.455,2.727
6,20231005-B-S-SP-down-I_05-1.tif,929.752,2518.942,113.378,2490.000,98.182,54.545,27.273
7,20231005-B-S-SP-down-I_05-1.tif,59.504,473.864,118.977,469.091,114.545,8.182,10.909
8,20231005-B-S-SP-down-I_05-1.tif,52.066,1065.390,122.143,1060.909,114.545,8.182,13.636
9,20231005-B-S-SP-down-I_05-1.tif,14.876,310.909,133.636,308.182,130.909,5.455,5.455
10,20231005-B-S-SP-down-I_05-1.tif,7.438,1059.545,132.273,1058.182,130.909,2.727,2.727
11,20231005-B-S-SP-down-I_05-1.tif,22.314,317.727,137.727,313.636,136.364,8.182,2.727
12,20231005-B-S-SP-down-I_05-1.tif,7.438,315.000,143.182,313.636,141.818,2.727,2.727
13,20231005-B-S-SP-down-I_05-1.tif,22.314,1695.000,145.909,1690.909,144.545,8.182,2.727
14,20231005-B-S-SP-down-I_05-1.tif,37.190,1954.636,174.273,1950.000,169.091,8.182,8.182
15,20231005-B-S-SP-down-I_05-1.tif,1614.050,626.537,212.331,602.727,190.909,49.091,43.636
16,20231005-B-S-SP-down-I_05-1.tif,7.438,2161.364,197.727,2160.000,196.364,2.727,2.727
17,20231005-B-S-SP-down-I_05-1.tif,22.314,2708.636,234.091,2705.455,231.818,5.455,5.455
18,20231005-B-S-SP-down-I_05-1.tif,937.190,585.563,261.710,572.727,237.273,27.273,51.818
19,20231005-B-S-SP-down-I_05-1.tif,133.884,2061.515,245.000,2053.636,240.000,16.364,10.909
20,20231005-B-S-SP-down-I_05-1.tif,22.314,1855.000,275.000,1851.818,272.727,5.455,5.455
21,20231005-B-S-SP-down-I_05-1.tif,14.876,1851.818,280.909,1849.091,278.182,5.455,5.455
22,20231005-B-S-SP-down-I_05-1.tif,208.264,952.110,306.916,943.636,297.273,16.364,19.091
23,20231005-B-S-SP-down-I_05-1.tif,14.876,1081.364,302.727,1080.000,300.000,2.727,5.455
24,20231005-B-S-SP-down-I_05-1.tif,52.066,343.831,329.416,338.182,324.545,10.909,8.182
