 ,Label,Area,X,Y,BX,BY,Width,Height
308,20231005-B-S-SP-down-I_01-1.tif,7.387,2153.998,672.700,2152.639,671.341,2.718,2.718
309,20231005-B-S-SP-down-I_01-1.tif,7.387,2656.824,672.700,2655.465,671.341,2.718,2.718
310,20231005-B-S-SP-down-I_01-1.tif,842.165,1043.895,690.462,1027.396,674.059,35.334,32.616
311,20231005-B-S-SP-down-I_01-1.tif,7.387,2602.465,675.418,2601.106,674.059,2.718,2.718
312,20231005-B-S-SP-down-I_01-1.tif,7.387,2751.954,675.418,2750.595,674.059,2.718,2.718
313,20231005-B-S-SP-down-I_01-1.tif,7.387,2757.390,675.418,2756.031,674.059,2.718,2.718
314,20231005-B-S-SP-down-I_01-1.tif,7.387,2735.646,678.136,2734.287,676.777,2.718,2.718
315,20231005-B-S-SP-down-I_01-1.tif,7.387,2765.544,678.136,2764.185,676.777,2.718,2.718
316,20231005-B-S-SP-down-I_01-1.tif,14.775,577.571,682.213,576.212,679.495,2.718,5.436
317,20231005-B-S-SP-down-I_01-1.tif,7.387,2757.390,680.854,2756.031,679.495,2.718,2.718
318,20231005-B-S-SP-down-I_01-1.tif,184.685,2069.632,693.900,2062.946,682.213,13.590,21.744
319,20231005-B-S-SP-down-I_01-1.tif,7.387,2143.126,683.572,2141.767,682.213,2.718,2.718
320,20231005-B-S-SP-down-I_01-1.tif,7.387,2659.542,683.572,2658.183,682.213,2.718,2.718
321,20231005-B-S-SP-down-I_01-1.tif,7.387,2746.518,683.572,2745.159,682.213,2.718,2.718
322,20231005-B-S-SP-down-I_01-1.tif,36.937,1076.048,690.638,1070.884,684.931,10.872,10.872
323,20231005-B-S-SP-down-I_01-1.tif,7.387,2645.952,686.290,2644.593,684.931,2.718,2.718
324,20231005-B-S-SP-down-I_01-1.tif,7.387,2730.210,689.008,2728.851,687.649,2.718,2.718
325,20231005-B-S-SP-down-I_01-1.tif,140.361,2120.667,698.592,2111.870,690.367,16.308,13.590
326,20231005-B-S-SP-down-I_01-1.tif,7.387,2567.131,691.726,2565.772,690.367,2.718,2.718
327,20231005-B-S-SP-down-I_01-1.tif,7.387,2654.106,691.726,2652.747,690.367,2.718,2.718
328,20231005-B-S-SP-down-I_01-1.tif,7.387,2675.850,691.726,2674.491,690.367,2.718,2.718
329,20231005-B-S-SP-down-I_01-1.tif,7.387,2700.312,694.444,2698.953,693.085,2.718,2.718
330,20231005-B-S-SP-down-I_01-1.tif,88.649,1870.196,702.598,1864.534,695.803,13.590,13.590
331,20231005-B-S-SP-down-I_01-1.tif,7.387,2741.082,697.162,2739.723,695.803,2.718,2.718
332,20231005-B-S-SP-down-I_01-1.tif,7.387,2751.954,699.880,2750.595,698.521,2.718,2.718
333,20231005-B-S-SP-down-I_01-1.tif,7.387,1819.687,702.598,1818.328,701.239,2.718,2.718
334,20231005-B-S-SP-down-I_01-1.tif,7.387,2599.747,702.598,2598.388,701.239,2.718,2.718
335,20231005-B-S-SP-down-I_01-1.tif,29.550,2631.683,705.316,2628.286,701.239,5.436,8.154
336,20231005-B-S-SP-down-I_01-1.tif,29.550,2716.620,705.316,2712.543,701.239,8.154,8.154
337,20231005-B-S-SP-down-I_01-1.tif,7.387,2760.108,702.598,2758.749,701.239,2.718,2.718
338,20231005-B-S-SP-down-I_01-1.tif,620.542,2332.705,718.452,2315.718,703.957,32.616,29.898
339,20231005-B-S-SP-down-I_01-1.tif,7.387,2754.672,705.316,2753.313,703.957,2.718,2.718
340,20231005-B-S-SP-down-I_01-1.tif,7.387,2466.566,708.034,2465.207,706.675,2.718,2.718
341,20231005-B-S-SP-down-I_01-1.tif,7.387,2550.823,708.034,2549.464,706.675,2.718,2.718
342,20231005-B-S-SP-down-I_01-1.tif,7.387,2616.055,708.034,2614.696,706.675,2.718,2.718
343,20231005-B-S-SP-down-I_01-1.tif,7.387,2722.056,708.034,2720.697,706.675,2.718,2.718
344,20231005-B-S-SP-down-I_01-1.tif,7.387,2760.108,708.034,2758.749,706.675,2.718,2.718
345,20231005-B-S-SP-down-I_01-1.tif,930.814,795.246,727.340,777.342,709.392,35.334,35.334
346,20231005-B-S-SP-down-I_01-1.tif,206.847,1789.983,717.644,1780.276,709.392,19.026,19.026
347,20231005-B-S-SP-down-I_01-1.tif,7.387,2542.669,710.751,2541.310,709.392,2.718,2.718
348,20231005-B-S-SP-down-I_01-1.tif,7.387,1757.173,713.469,1755.814,712.110,2.718,2.718
349,20231005-B-S-SP-down-I_01-1.tif,7.387,2023.535,713.469,2022.176,712.110,2.718,2.718
350,20231005-B-S-SP-down-I_01-1.tif,7.387,2757.390,713.469,2756.031,712.110,2.718,2.718
351,20231005-B-S-SP-down-I_01-1.tif,7.387,346.542,716.187,345.183,714.828,2.718,2.718
352,20231005-B-S-SP-down-I_01-1.tif,376.758,1981.220,726.686,1970.535,714.828,21.744,24.462
353,20231005-B-S-SP-down-I_01-1.tif,7.387,2254.564,716.187,2253.205,714.828,2.718,2.718
354,20231005-B-S-SP-down-I_01-1.tif,14.775,592.519,720.264,589.801,717.546,5.436,5.436
355,20231005-B-S-SP-down-I_01-1.tif,7.387,2216.512,718.905,2215.153,717.546,2.718,2.718
356,20231005-B-S-SP-down-I_01-1.tif,7.387,2626.927,718.905,2625.568,717.546,2.718,2.718
357,20231005-B-S-SP-down-I_01-1.tif,7.387,2746.518,718.905,2745.159,717.546,2.718,2.718
358,20231005-B-S-SP-down-I_01-1.tif,14.775,600.673,722.982,597.955,720.264,5.436,5.436
359,20231005-B-S-SP-down-I_01-1.tif,7.387,1776.199,721.623,1774.840,720.264,2.718,2.718
360,20231005-B-S-SP-down-I_01-1.tif,7.387,2249.128,721.623,2247.769,720.264,2.718,2.718
361,20231005-B-S-SP-down-I_01-1.tif,7.387,1550.607,724.341,1549.248,722.982,2.718,2.718
362,20231005-B-S-SP-down-I_01-1.tif,7.387,2148.562,724.341,2147.203,722.982,2.718,2.718
363,20231005-B-S-SP-down-I_01-1.tif,229.010,1117.309,734.249,1106.217,725.700,21.744,19.026
364,20231005-B-S-SP-down-I_01-1.tif,22.162,1897.602,727.965,1894.431,725.700,5.436,5.436
365,20231005-B-S-SP-down-I_01-1.tif,7.387,2520.925,729.777,2519.566,728.418,2.718,2.718
366,20231005-B-S-SP-down-I_01-1.tif,14.775,2611.978,731.136,2609.260,728.418,5.436,5.436
367,20231005-B-S-SP-down-I_01-1.tif,36.937,2709.553,733.583,2704.389,728.418,8.154,8.154
368,20231005-B-S-SP-down-I_01-1.tif,7.387,2751.954,732.495,2750.595,731.136,2.718,2.718
369,20231005-B-S-SP-down-I_01-1.tif,7.387,2762.826,732.495,2761.467,731.136,2.718,2.718
370,20231005-B-S-SP-down-I_01-1.tif,1174.598,501.587,755.248,481.082,736.572,40.770,40.770
371,20231005-B-S-SP-down-I_01-1.tif,7.387,2673.132,737.931,2671.773,736.572,2.718,2.718
372,20231005-B-S-SP-down-I_01-1.tif,458.019,2730.122,747.795,2715.261,736.572,32.616,21.744
373,20231005-B-S-SP-down-I_01-1.tif,14.775,755.598,740.649,752.880,739.290,5.436,2.718
374,20231005-B-S-SP-down-I_01-1.tif,7.387,2401.334,743.367,2399.975,742.008,2.718,2.718
375,20231005-B-S-SP-down-I_01-1.tif,7.387,2580.721,743.367,2579.362,742.008,2.718,2.718
376,20231005-B-S-SP-down-I_01-1.tif,229.010,1428.561,756.957,1416.067,744.726,24.462,21.744
377,20231005-B-S-SP-down-I_01-1.tif,7.387,1528.863,748.803,1527.504,747.444,2.718,2.718
378,20231005-B-S-SP-down-I_01-1.tif,450.632,1733.068,761.056,1723.199,747.444,21.744,27.180
379,20231005-B-S-SP-down-I_01-1.tif,7.387,2501.900,748.803,2500.541,747.444,2.718,2.718
380,20231005-B-S-SP-down-I_01-1.tif,7.387,2371.437,754.239,2370.078,752.880,2.718,2.718
381,20231005-B-S-SP-down-I_01-1.tif,14.775,1439.170,758.316,1437.811,755.598,2.718,5.436
382,20231005-B-S-SP-down-I_01-1.tif,7.387,2673.132,756.957,2671.773,755.598,2.718,2.718
383,20231005-B-S-SP-down-I_01-1.tif,29.550,1186.398,763.073,1182.321,758.316,8.154,8.154
384,20231005-B-S-SP-down-I_01-1.tif,7.387,1191.834,759.675,1190.475,758.316,2.718,2.718
385,20231005-B-S-SP-down-I_01-1.tif,1876.402,2725.512,782.007,2685.363,761.034,67.949,46.206
