Radii(nm)	Raw	1kp	2kp	4kp	4ks
96.	1.6662373380513e8	4.05997755384001e8	4.71270120685091e7	1.57422458465582e8	1.58264856362271e7
97.	1.18739523522935e8	2.14070686511351e8	5.70020692108641e7	2.09918071736033e8	4.78255094347848e10
98.	8.48745059242713e7	1.19022573426371e8	8.15700982621565e7	3.578628637215e8	5.35584516750289e10
99.	9.91403264650076e7	7.30747436563035e7	1.44321542384844e8	9.65644625267641e8	1.37666016723925e7
100.	4.12843188651481e8	5.07451402738221e7	3.74487917435747e8	8.26350749644744e11	4.76478585102846e6
101.	8.76557250834672e10	3.93867597165206e7	3.54720576869621e11	6.33922257212015e11	2.59022789165716e6
102.	1.43436673572211e11	3.35776137633599e7	3.43365576144918e11	1.04019585870342e9	1.78466929365433e6
103.	6.71800270972908e7	3.10653623513594e7	6.57904173094531e8	4.07970117706821e8	1.45946929777728e6
104.	5.69296379992922e7	3.1010052826705e7	2.55424718663915e8	2.5424245449304e8	1.39186709312925e6
105.	3.75910783596374e7	3.33754644596348e7	1.6688768096809e8	2.05522386300259e8	1.57070005449581e6
106.	2.29808947483962e7	3.89215150793618e7	1.45129237565722e8	2.02783404922817e8	2.23351526855129e6
107.	1.64059317706966e7	4.98506411392111e7	1.56423635437223e8	2.42817890708889e8	4.95244039299044e6
108.	1.3838826515877e7	7.29214371316549e7	1.94493333370548e8	3.75741279485541e8	2.54137450549408e10
109.	1.37620398185437e7	1.28286879335016e8	2.93037529553506e8	8.1319612467058e8	1.00490533301391e10
110.	1.62306482735104e7	3.15343796203187e8	9.02391732881739e8	5.65704010862037e9	2.37274534302224e6
111.	2.32063429524241e7	1.89854600105908e10	1.18342689347353e10	4.72328726004856e11	649815.437221361
112.	4.19290727496709e7	3.73561654381139e10	2.02279447167838e11	1.75526090350221e10	271697.250027538
113.	1.10732606766314e8	4.75162224569823e8	3.28359152007084e8	2.81086589998423e9	138764.204919507
114.	3.53120976498973e9	1.72884068686525e8	1.74691838718394e8	1.18742230183098e9	80119.7104499714
