Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
825.9564819	0.04200197	0.003894898	0.123464257	0.304347515	-0.063699305
824.9974365	0.045764346	0.010218984	0.12998338	0.312014073	-0.05854401
824.0380249	0.041574948	0.006259125	0.128554761	0.311202616	-0.060468264
822.94104	0.036213852	0.003410058	0.12758112	0.310795724	-0.061326787
821.9807739	0.03706352	0.001054268	0.124237411	0.309125572	-0.065498859
821.0201416	0.034982692	0.004807311	0.121403784	0.310457051	-0.065932803
820.059082	0.038508259	0.005440478	0.123852611	0.312982559	-0.065243177
818.9602661	0.038378332	0.006386067	0.125494778	0.315287471	-0.062912963
817.9984131	0.038985878	0.006205423	0.124173224	0.316669434	-0.066988267
817.0361328	0.04088043	0.004983524	0.125243947	0.313883066	-0.068449624
815.9359131	0.035274081	0.002478548	0.125503108	0.319207043	-0.068912081
814.9728394	0.041664205	0.00345577	0.128357574	0.321341425	-0.067448467
814.0093994	0.049655162	0.004875683	0.130906716	0.327011019	-0.06295009
813.0455322	0.048573628	0.005168847	0.130483896	0.326461434	-0.064069785
811.9434814	0.044958245	-0.002498972	0.129043743	0.323969275	-0.069667839
810.9788208	0.043043457	0.004617328	0.133610919	0.330192417	-0.064522333
810.0137939	0.044824596	0.005584775	0.134520978	0.334873349	-0.066694513
809.0483398	0.044066962	0.008811927	0.140421838	0.336343586	-0.064204
807.944519	0.048931908	0.00570289	0.137193874	0.339872062	-0.066686876
806.9782715	0.053066824	0.005025448	0.136380926	0.337569326	-0.065634459
806.0115967	0.049777679	0.00614582	0.139176056	0.344222218	-0.064847566
805.0446167	0.050379153	0.005292247	0.141647309	0.344185591	-0.062691733
803.9389648	0.04346469	0.006043255	0.142180309	0.346251041	-0.061779059
802.9711304	0.047221661	0.00435816	0.140025139	0.350835472	-0.065784611
802.0029297	0.047790937	0.00790391	0.144402221	0.353030384	-0.064578064
801.0343628	0.047875036	0.008316029	0.144088864	0.355632186	-0.062120128
800.0653687	0.048192389	0.005688255	0.145845801	0.357832015	-0.066700332
798.9575195	0.048069451	0.004715737	0.143757328	0.358350426	-0.068881378
797.9877319	0.046935961	0.004713225	0.149286374	0.358011127	-0.066452853
797.0175781	0.045021959	0.00163321	0.148549378	0.36209181	-0.069963776
796.0470581	0.04737138	0.005390495	0.152359769	0.368278384	-0.064266019
794.937439	0.053399939	0.004061753	0.150656626	0.368488193	-0.065601386
793.9661255	0.055043906	0.008038743	0.15179947	0.373604089	-0.068400495
792.9943848	0.050290704	0.006981267	0.154354826	0.374937475	-0.065314539
792.0223389	0.058934182	0.011644495	0.15803732	0.382226378	-0.062471155
791.0498657	0.058168836	0.008366535	0.155010223	0.376350224	-0.067782857
789.9380493	0.054786932	0.008251228	0.156923398	0.380811662	-0.064624861
788.9647827	0.055057451	0.007406808	0.157767877	0.382523119	-0.064139239
787.9911499	0.053386122	0.008016593	0.15893507	0.386814088	-0.059001263
787.0171509	0.057272412	0.008677647	0.163238049	0.389632165	-0.061215825
786.0427856	0.061723232	0.007915404	0.161576018	0.390690178	-0.063996337
785.0680542	0.054123171	0.009755177	0.163439438	0.393922627	-0.059492622
