Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
103.	6.88324875622723e8	3.41762689213444e8	7.24386293208644e9	2.21532998197725e8	3.29821843219196e8	3.95869083902967e7
104.	7.02874690632821e8	4.1894875424307e8	4.58171560690969e9	3.2141840871545e8	3.30538327783069e8	6.04883897275445e7
105.	9.03861443904576e8	6.96298227499214e8	3.91574058878122e9	9.16858382949235e8	3.88251738438157e8	1.23334889751537e11
106.	1.62210640323116e9	2.14959148959234e9	5.27606887872254e9	3.18003593438078e10	5.11265109903724e8	5.76681106747973e10
107.	5.57938549777731e9	8.02238146117633e11	1.34880395221392e10	8.00816659263217e10	5.8073371111277e8	2.96862341873005e8
108.	9.28954020969609e11	3.31444378241576e11	5.11030907732979e11	3.51511335514597e8	9.0462902092423e8	1.14289045026483e8
109.	1.56368614262879e9	1.15205329682654e9	3.53654161684312e9	1.0338104805309e8	4.06446863572429e10	5.32922119863867e7
110.	3.46913466490638e8	1.76991863185207e8	5.02141902433753e8	7.20691013026161e7	7.66251544782516e10	2.93063031151353e7
111.	1.25016617609778e8	8.69810804160465e7	1.48277398558935e8	6.62852466593596e7	3.3002557051744e9	1.84838297821147e7
112.	7.95560681120762e7	4.99769195702588e7	7.77755544755075e7	7.74990135383617e7	7.7063618716753e8	1.2761083791908e7
113.	5.34017091337257e7	3.42356723497118e7	5.63796156644963e7	1.3150257659618e8	3.59893378328428e8	9.31794922057322e6
